1,aa-,"(i) to cry violently becoming physically rigid, followed by temporary unconsciousness due to interrupted breaing, of a baby",,,,,,
2,aa'aaŋiq,long-tailed duck (Clangula hymalis),,,,,,
3,aaġaagun,"later on in the day, tomorrow",,,,,,
4,aaġaguchi-*,to put off or delay doing,,,,,,
5,aaġagun,"wait a minute!, later on, in a little while",,,,,,
6,aaġlu,killer whale,aaġlut,killer whales (plural),,,,
7,aaġluq-,(i) to raise one's chin,,,,,,
8,aaka,mother,aakaaŋ,"you, my dear mother",,,,
9,aakauraq,elder sister,,,,,,
10,aalġu-,(i) to menstuate,,,,,,
11,aaliuqtuq,ghost,,,,,,
12,aamuuq,yes,,,,,,
13,aana,grandmother,aanaaŋ,"you, my dear grandmother",,,,
14,aanikkaa,alas,,,,,,
15,aanikkaa!,oh my goodness!,,,,,,
16,aannaŋaaq-,(i) to be cute,,,,,,
17,aaŋaa!,how cute!,,,,,,
18,aaqik-,"(t) to save, for future use, to store, put away",,,,,,
19,aaqqaa!,it stinks!,,,,,,
20,aaqqaaq-,(i) to smell bad ,,,,,,
21,aarigaa,very nice! good!,,,,,,
22,aarigaa nalunŋitauq una,statement of praise,,,,,,
23,aat-,"(t) to deliver, take somewhere",,,,,,
24,aatchi-,"(i) to take somewhere, to deprive",,,,,,
25,aatchin!,you stop!,,,,,,
26,aattaiq-,(i) to be cute,,,,,,
27,aavri-,"(t) to bother annoy, or pester",,,,,,
28,aavuq-,"to gather things, collect",,,,,,
29,abiyak,clam,,,,,,
30,abriaq-,(i) to be in the way; be a hindrance,Abriaġin!,Get out of the way!,,,,
31,achiaq,blackberry,,,,,,
32,aġagun,tomorrow,,,,,,
33,aġamak-,to wrestle with wrists interlocked,Aġaimausruk. ,They(2) are wrestling with wrists interlocked. ,,,,
34,agamaułuq-,to wrestle with wrists interlocked,,,,,,
35,aġargiq,willow ptarmigan (Lagopus lagopus),,,,,,
36,aġargiqpak,chicken,,,,,,
37,aġargiqpialuk,all white ptarmigan (Lagopus mutus); mountain,,,,,,
38,agargvik,motor boat with cabin,,,,,,
39,aggiqnaq,knapsack,,,,,,
40,aggisichu-,to bring or take home,,,,,,
41,aggiti-,to bring a gift of food or supplies; (t) to take or bring home,,,,,,
42,aggitnaq,bag in pack,,,,,,
43,aġi-,(t) to kick,,,,,,
44,agiagun,"file, a tool",,,,,,
45,aġiaġuq,stomach,,,,,,
46,aġiaġuq-,(i) to have a stomach cramp,,,,,,
47,agiaq-,"(t) to file, rub with file",,,,,,
48,aġichi-,(i) to kick ,,,,,,
49,aġimaa-,(t) to kick repeatedly,,,,,,
50,aġiŋnaq-,to stink,,,,,,
51,aġit-*,"to be soft, tender ",,,,,,
52,aġitnaq,seal poke backpack,,,,,,
53,aġitŋaq,bleached seal skin,,,,,,
54,aġituina-,(t) to kick repeatedly,,,,,,
55,aglaaksraq,writing paper,,,,,,
56,aglaaksrat aglakchuun,crayon,,,,,,
57,aglagvik,desk,aglagviit,desks,,,,
58,aglait,mail (something sent),aglait tikipait,received mail,,,,
59,aglak,"character, letter, birthmark",aglait,"characters, letters (plural)",,,,
60,aglak-,"to write, mark with pencil or pen, record, draw",Aglaktuq chukiatpiaqtuni. ,S/he is doodling. ,,,,
61,aglakchuutit,typewriter,,,,,,
62,aglakpak,"capital letter, big letter",aglakpait,"capital letter, big letters",,,,
63,aglaktauqchuun,crayon,,,,,,
64,aglakti,secretary,,,,,,
65,aglaktuun,marker,,,,,,
66,aglaun,"pencil, pen",,,,,,
67,aglauraaq-,(i) to write leisurely,,,,,,
68,aglautitaq-,"to type, use the typewriter",,,,,,
69,agli-,"(i) to grow, increase, enlarge, swell",,,,,,
70,aglichiutuaq inuk,little person,,,,,,
71,aglilaaq-,(t) to enlarge,,,,,,
72,aġliligun,magnifying glass,,,,,,
73,agluġiaq,rainbow,,,,,,
74,aġnachalluq,female animal,,,,,,
75,aġnaiyaaq,young woman*,,,,,,
76,aġnaq,woman,,,,,,
77,aġnaqan,child of mother's sister,,,,,,
78,aġnaquksraq,old woman,,,,,,
79,aġnatquqsraq,old woman,,,,,,
80,agniq-,for there to be a blister,,,,,,
81,aġra,ash,,,,,,
82,agrai-,(t) to remove soot from it = stovepipe,,,,,,
83,aġraksraq,gunpowder,,,,,,
84,aġrawik,ashtray,,,,,,
85,aġu-,to drive a car or truck (i) ,,,,,,
86,aġui-,(i) to quit; (t) to no longer have anything to do with,,,,,,
87,aġui-,"(i) to walk, move about on foot",,,,,,
88,aġuichi-,to quit in discouragement,,,,,,
89,aġuiguuraq-,"(i) to stroll, walk leisurely",,,,,,
90,aġuiluuraq-,"(i) to pace, stride back and forth",,,,,,
91,aguiwaksruq*,burnt offering,,,,,,
92,aġuppi-,(i) to be sitting,,,,,,
93,aġuppiutaq,chair,,,,,,
94,aġuq-,(i) to collect,,,,,,
95,aġut-,to steer or pilot a boat,,,,,,
96,aguummaq,basket,,,,,,
97,aġuvit-,to sit up; to sit down; to sit on,,,,,,
98,aġvak-,(i) to kill a whale ,,,,,,
99,aġviġruaq,gray whale (Eschrichtius glaucus),,,,,,
100,aġvinilġit,six,,,,,,
101,aġviq,bowhead whale (Balaena mysticetus),,,,,,
102,aġviqchiuq-,(i) to hunt whales,,,,,,
103,ai,"(t) to fetch, to go and get",,,,,,
104,ai-,"(i) to go home: (t) to rescue, take to safety",Aiłiuqtuŋa. ,I will go home. ,,,,
105,aikłiġataq-,"to fetch, future?",,,,,,
106,aikłiq- ,(i) to fetch,,,,,,
107,aikłiuti-,to get out or take out of a conveyance or a container,,,,,,
108,aiktuuchiaq*,a share; dividend,aiktuuchiaġa,my dividend,,,,
109,ailaq-,"(i) to be damp or wet; (t) to become damp, wet",Ailaġaa. ,"It has become wet, damp. ",,,,
110,ailaqchi-,(i) to be damp or wet,,,,,,
111,aimmi-,(i) to be at home,,,,,,
112,Aipaagit,*Tuesday,,,,,,
113,aipaq,"mate, partner",,,,,,
114,aippaani,3rd year in the past,,,,,,
115,aiqan,mitten,aiqatik,mittens (2),,,,
116,aiqtuq-,to give,,,,,,
117,airi-,to fire a gun by pulling the trigger,,,,,,
118,ait-,"to give, hand something to someone",,,,,,
119,aitaq-,(t) to give a name,,,,,,
120,aitaq-,"(i) to open one's mouth, yawn",,,,,,
121,aitaqtit-,(t) to pry open,,,,,,
122,aitchui-,(i) to donate,,,,,,
123,aitchuq-,(t) to give someone something,,,,,,
124,aitu-,to give as a gift,Aitugiga niġiksranik. ,I gave food as a gift.,,,,
125,aituġuŋit-,"to be stingy with food, not want to give",Aituġuŋilaq. ,S/he is stingy with food. ,,,,
126,aituq-,"to give, give a present, donate",Aituġiga. ,I donate to it. ,,,,
127,aituun,gift,,,,,,
128,aituuq-,(i) to yawn,,,,,,
129,aituuti,gift,,,,,,
130,aituutiksrat,a donation,,,,,,
131,aituutit,contribution,,,,,,
132,akchik-,"(t) to feel, to touch, to move emotionally",,,,,,
133,akchiuraq-,(t) to touch lightly,,,,,,
134,aki,"cost, money, silver",akituutikłaaq*,its cost,Qanutun akitutiuva?*,How much does it cost?,,
135,aki-,"to fight, take revenge",Akigaa. ,S/he takes revenge on him/her?,,,,
136,akia,"area cross from it (opposite), can't reach it",,,,,,
137,akiani,in area across from it,,,,,,
138,akianin,from area across from it,,,,,,
139,akianun,to area across from it,,,,,,
140,akichaq-,to take revenge on someone,,,,,,
141,akiili-*,to be defeated,,,,,,
142,akiiqtaqa-*,"to be expensive, valuable",Akiiqtaqaruq.*,It is expensive.?,,,,
143,akiiqtiq-,"to reduce, decrease in price",,,,,,
144,akiisit-,(t) to beat or defeat,,,,,,
145,akiit-,(i) to be cheap,akiitpaktuaq,something that is very cheap,Akiilaq. ,It is cheap.,,
146,akiit-,to lose or be defeated,Akiilaq. ,S/he loses. ,,,,
147,akikuwik,sack,,,,,,
148,akilli-*,to defeat,,,,,,
149,akima-,"(t) to beat or defeat, win",,,,,,
150,akimanchuaq-,(t) to compete strenously,,,,,,
151,akin,cash*,,,,,,
152,akiniaġvik,*mine,,,,,,
153,akiniaq-,to mine,Akiniaqtuq. ̣,S/he is mining. ,,,,
154,akiŋuaq,coin,,,,,,
155,akiqniaq,"a bill, debt",,,,,,
156,akiqniaq-,"to charge, buy on credit",,,,,,
157,akiqsruq-,"(t) to swear, vow, promise",,,,,,
158,akit,gold (like cash),,,,,,
159,akitau-,to have a lot of money,Akitauruq. ,S/he has a lot of money. ,,,,
160,akiti,pillow,,,,,,
161,akiti-,to do excessively ,,,,,,
162,akitu-,to be expensive,,,,,,
163,akiunani chuli-*,"to do for nothing, no fee or payment",Akiunani chuliruq. ,S/he does it for no money. ,,,,
164,akkaa,hush!,,,,,,
165,akkałuuraq*,uncle,,,,,,
166,akku,a while ago,,,,,,
167,akkuaq-,(t) to catch with the hands or arms,,,,,,
168,akkuaqchi-,(i) to catch with the hands or arms,,,,,,
169,akkunichaqpak,a long while ago,,,,,,
170,akkunichauraq,in a little while,,,,,,
171,akkunilġamik,a little while ago ,,,,,,
172,akkuniłhaq,a long while ago,,,,,,
173,akłaq,brown bear (Ursus arctos),,,,,,
174,akłunaaŋuluuraq,small string,,,,,,
175,akłunaaq,"line, rope, string, twine",,,,,,
176,akłunaaqpak,big rope ,,,,,,
177,aksrak-,to roll,,,,,,
178,aksrak-*,to roll over?,Uyaġak aksratuq. ,The rock rolls over.?,,,,
179,aksraktuaq,car,,,,,,
180,aksraktuaq*,cargo,,,,,,
181,aksralak-,"to roll away, long ways",,,,,,
182,aktikłaaġa,amount,,,,,,
183,aktiłaaq,"size, measurement",,,,,,
184,aktiłaaq-,"(t) to determine the size of, to measure",,,,,,
185,aktuġit-,to tag in a game,Aktuġitkikpin. ,I tag you. ,,,,
186,aktulġałaq-*,(i) when growing?,,,,,,
187,aktuu-,"(i) to be large, big",,,,,,
188,aktuulilaaq-,(t) to make larger,,,,,,
